,filename,job_desc
0,NOC Engineer_64709,"   Job Description    Send me Jobs like this Job Description NOC engineer or Remoc Engineer  To provide 24x7 monitoring support of our Infrastructure devices like network device and servers applications and other operations  Incident and Alert Management  Outage handling Principle Responsibilities  24x7 Infrastructural monitoring  Monitoring Process Adherence  OutageIncident handling Management Lead Troubleshooting Bridge Get right support group on call Resolve Incident Follow up for RCA  Manage internal IT Notification Roll Out for Planned  Unplanned Change Requests or Maintenance  Provide Up time reports bandwidth reports etc from monitoring tool  Documentation and Monitor Inventory update  Visio management Key Skills  Must have worked on Monitoring tools like but SolarWinds  SCOM will be preferable  Server Knowledge of DNS DHCP AD etc  Knowledge in OSI Model TCPIP SNMP SMTP HTTP FTP TFTP RDP Telnet ssh  Basic troubleshooting of network devices or server hardware level troubleshooting  Certification is must of any from CCNA or MCSE or SQL  Understanding of ITIL concepts certification in ITIL will preferable Interested candidate inbox me with updated resume  below mentioned details Current CTC Expected CTC Notice period   Note We are looking a candidate who can join on immediate basis or within 710 days Contact details Landline 01203061174 Mob 9953758339 mrajput1fcsltdcom Follow me on Twitter rajputmanikant Linkedin  httpbitlyJ01t4F Salary Not Disclosed by Recruiter Industry ITSoftware  Software Services Functional Area IT Software  Application Programming  Maintenance Role CategoryAdminMaintenanceSecurityDatawarehousing RoleNetwork Administrator Keyskills CCNA Networking OSI Model IP TFTP SMTP DNS DHCP monitoring solarwinds SCOM Troubleshooting Desired Candidate Profile Education UG Any Graduate  Any Specialization Graduation Not Required PGAny Postgraduate  Any Specialization Post Graduation Not Required DoctorateAny Doctorate  Any Specialization Doctorate Not Required Please refer to the Job description above Company Profile FCS Software Solutions Limited FCS is a leading provider of IT services In the past one decade of its existence FCS has carved out a niche for itself in core IT areas like Elearning Digital content services Resource staffing BPO and Product engineering services As a business innovator FCS helps clients achieve extraordinary results from their customer relationships business operations and technology Clients choose FCS for the impact we achieve our commitment to their success and the straightforward and collaborative way we work with them Our customers list include Medidata Canon Merck Samsung TCS Axalta Coating Systems and many more Fortune 500 companies In annual 2011 RD Scorecard of the companies from across the world the European Unions executive body European Commission EC has ranked FCS Software Solutions 18th among Indian firms We have stateofthe art facilities based at Noida Chandigarh and Dehradun running 24x7 Our continuous growth has been made possible by the result of livewire energetic and focused IT workforce of more than 900 highly competent professionals who have worked extensively in the areas of application development and support elearning solutions Business Infrastructure Management and BPO For more details click on wwwfcsltdcom Download PPT Photo 1    View Contact Details
"
1,Senior Frontend De_21106,"     Senior Frontend Developer JavascriptThis position will be ideal for applicants who have experience in designing and developing intricate but aesthetically pleasing applications General desktop web design and development is a plus but this job has a heavy emphasis on creating responsive and high functionality designs for smartphone and tablet as well as desktop size devices Screen space is a precious commodity in the smaller devices and the ideal candidate will have a ready arsenal of UI methods and approaches to maximize every pixelThe web UI will be responsive and apps may be hybrid or native so you   ll need reasonable UI knowledge and skills in those areas The best candidates will be able to work within an agile team while owning a UI design from concept to final outputResponsibilities include    Designing developing testing and debugging user interface solutions for responsive websites and apps    Working with our software engineers to roll out complete products    Maintaining thorough documentation of all projects and procedures    A bachelor   s degree in a related field or a minimum of 7 years of relevant work experience    Expert knowledge of current web technologies HTML5 CSS3 Bootstrap3 jQuery jQuery Mobile Extjsor similar RequireJS Grunt Isotope Bower    Advanced to expert level with Javascript with emphasis on events and DOM manipulation    Advanced to expert level with HTML5 incl DOM manipulation inside JS controllers HTML nodes and tags DOM tree manipulation and experience with HTML5 APIs    Experience with responsive frameworks such as Bootstrap    Extremely detail oriented Strive for pixel perfect implementation in all browsers    Unmistakable passion for elegant and intuitive user interfaces with a strong understanding of color theory and user habits    Ability to write wellabstracted reusable code for UI components    Must have an existing portfolio that showcases mobile device design work    Basic level with a clientside MVC framework    Intermediatelevel knowledge in the use of GitHub repository
"
2,Sr Software Develo_2360,"   Are you interested in building an amazing recommendations platform which involves machine learning systems rule based analysis and big data processing Are you interested in making a massive and measurable difference in a vibrant business for the leading edge cloud adopters in the world We are looking for a passionate and talented Sr Software Engineer to help lead the technical efforts to build first class scalable real world production systems to do just thatAWS Kumo Software is a dynamic and rapidly growing development organization within Amazon Web Services We are building the next generation diagnostic and troubleshooting systems for the paradigm shifting cloud computing industry AWS Kumo applications encompass a variety of technical areas such as information retrieval data mining big data and machine learning An example application is AWS Trusted Advisor which performs data mining for customers and gives precise recommendations on cost optimization security fault tolerance and performanceAs a developer working on AWS Kumo Software you will get firsthand experience interacting across all AWS services such as EC2 RDS S3 Redshift DynamoDB and others You will be surrounded by people who are extremely smart and passionate about cloud computing Our work has an impact across all AWS customers from Netflix to NASAThe AWS Kumo Software team combines the culture of a startup the innovation and creativity of a RD Lab the worklife balance of a mature organization and technical challenges at the scale of AWS We offer a playground of opportunities for builders to build and make history
"
3,Head of Compliance_97878,"    Apply now To lead the Bank   s Compliance and Anti Financial Crime operations by directing and coordinating activities to ensure that the Bank   s compliance regime and processes are maintained in accordance with current and future regulatory policy To formulate and document the Bank   s compliance strategy based on government legislation and the regulators eg FCA   s rules and guidance on best practice To develop and implement appropriate controls and monitoring to ensure that the Bank meets its statutory and regulatory obligations Financial Services and Markets Act 2000 and applicable regulatory Rules and internal or Group requirements in respect of Compliance To work with all areas of the business to embed the culture of good compliance practice and in particular treating customers fairly Provide assurance to the Executive Committee that the team is able to produce and deliver effective plans and programmes in relation to all compliance areas A deep understanding of Compliance and financial crime as a discipline within a wealth management private banking environment and the subsequent benefits from such implementation Overall responsibility for the Bank   s policies and procedures for countering the risk that the firm might be used to further financial crime Experience of having worked in both large and small institutions and comfortable in working with little supervision and taking ownership and responsibility within a smaller organisation Be the primary point of contact between the Bank and the UK Regulators FCA  PRA together with other any other local regulatory agencies Establish an effective interface with Internal Audit Operational Risk Management and other relevant functions to ensure compliance weaknesses are identified and addressed in a timely and proactive manner Overall responsibility for the Bank   s compliance with CASS Overall responsibility for the Bank   s customer complaints handling Devise procedures for effective implementation of regulatory rules Ensure that new activities are conducted in accordance with all applicable legal and regulatory restrictions Responsible for ensuring compliance with specific conduct risk ie product development compliance process and procedures and HR including performance management Ensure monitoring to assess the Bank   s compliance with FCA regulatory requirements specifically to organize and assist with the Compliance Monitoring Programme Responsible for ensuring that the Treat Customers Fairly TCF policies and procedures are accurate and updated regularly Act as the Bank   s internal contact for any whistleblowing reports Other assignments assigned from time to time by the CEO Audit  Compliance Committee Minimum experience Significant experience in the capacity of Head of Compliance in a similar Retail BankSignificant knowledge of MIFID and other Private Banking regulationsExperience in managing a teamSolid working relationships with the regulatorsAbility to build and maintain credible working relationships with othersDeep FCC knowledge across Global AML Sanctions and ABC Preferably holding or having held FCA Senior Manager SMF16 or equivalent Additional Information Member of the Management Committee by invitationSecretary of the Audit  Compliance Committee 
"
4,Customer Service R_141060,"      Inteligente Solutions offers excellent employment opportunities for candidates nationwide With 15 years of industry experience we have provided thousands of individuals employment throughout our companys history An award winning company Voted a Top Staffing Firm in 2008 by Corp Magazine we continue to grow and expand our market reach            Bilingual SPANISH Customer Service Representative Contract Position     nbsp   nbsp      The Bilingual Customer Service Representative must be fluent in both English and Spanish      nbsp     Position  Customer Support Services Representative        Shift  1100am800pm   MF    nbsp     Pay Rate  Base Rate 15hr  Individual Performance Base Commission     nbsp    JOB RESPONSIBILITIES       The Customer Service Representative provides the necessary support of the sales cycle to ensure the increase of insulin pump sales with emphasis on processing orders including data input and followup with key customer groups     nbsp   nbsp Answers incoming calls regarding customer supply reorders insurance inquiries distributor inquiries  nbsp  nbspnbspGathers inputs and updates data on patients physicians and insurance companies     nbsp Process customer orders in a timely fashion including obtaining prescriptions working with the  nbspnbsp insurance verification team to get authorizations and getting the orders to shipping    nbsp Consistent customer followup including healthcare providers patients and insurance verification    nbsp Work with accounts receivable to manage reporting processnbsp    nbsp Work collaboratively with team members to insure efficient processing and delivery of orders    nbsp Work collaboratively with nonproduct complaints for tracking and trending purposesnbsp    nbsp Working in a team environment to successfully implement the sales process and achieve or surpass  nbspnbsp sales goals  nbsp  nbsp Ongoing commitment to grow selling skills and product knowledge Maintain regular interdepartmentalnbspnbsp   nbspnbspnbsp communication and collaborate with Field Sales Force and Marketing    nbsp Adhere to all company and corporate policies and procedures    nbsp     nbsp 
"
5,Sales Manager East_95277,"    Apply now Sales Manager Eastern Europe  Solar PV Tier 1  competitive salary in the range    60000     78000 plus quarterly bonus One of the worlds leading solar PV panel manufacturers tier 1 supplier is ramping up its European sales capacity with a strategic new hire to be based in Poland Hungary or Czech RepublicAbout the roleWe are looking for an experienced sales professional to build up and maintain key accounts with largescale systems integrators and wholesalers in Eastern EuropeThis is a great opportunity to join a topperforming company in an exciting period of growth and developmentThe company has a rich history a comprehensive product line and an outstanding reputation for quality and performanceThe role will be home based and is likely to be based in one of the following target market countriesPoland  Hungary  Czech RepublicAbout youYou are a self starter  a highly motivated sales professional with extensive knowledge of the European solar market and a warm black book of contacts in large scale solar developers EPCs  system integrators or wholesalersYou will live in one of the target countries and speak the local language to native standard along with fluent EnglishYou will be capable of working independently but also able to synergize well with management and international or local members of the teamOf course youre very comfortable with delivering against a sales quotaRequirements Degree qualifiedPrevious solar PV sales experience and good industry  product knowledgeWarm contacts with significant solar buyersExcellent negotiation skillsPrior experience of working remotely andor independentlyGood numeric skillsIT literacy  MS Office suiteOwn vehicle and valid driving license and happy to travelFluent English is a must and any Mandarin is an advantageBased in Poland  Hungary or Czech Republic with native local language skills RemunerationA competitive salary package is on offer for the right candidate involving a base salary in the range    60000     78000 and a quarterly bonus This is for a tier 1 solar manufacturer so is a great opportunity for the right candidate 
"
6,BW developer with_36857,"   PDI is looking for senior SAP BW developerYour responsibilities   Responsible for providing and owning SAP BW application development support in assigned areasResponsible for analyzing designing coding and testing breakfix requests and enhancements to SAP BWResponsible for designing and coding based on SAP and customer best practicesResponsible for providing primary support toward installation of application releases into production as directedQualification  SAP BW Developer with BW 74 experienceNeeds to have experience and knowledge with ABAP  SAP Functional Expert to assist with BW report validationMinimum 5 years of experience as a BW developerMinimum BA in computer science or related field Excellent communication skills
"
7,Executive Assistan_127299,"    We are looking for an experienced Executive Assistant to join our team This isnbspa temp to hire positionnbsp This personnbspMUST have 6  years of experiencenbspsupporting a Clevel executivenbsp Primary duties include planning extensive travel arrangements international and domestic doing expense reports and calendar managementnbsp They will also be preparing documents interfacing with business leaders and participating in highlevel meetingsnbsp A high degree of confidentiality is requirednbspThere will be some level of support needed on the weekends nbspThis position requires a high level of skill with MS Word Excel and PowerPoint as well as general computer skillsnbsp   n nbsp  n Strong organizational skills are a must as well as the ability to work on multiple prioritiesnbsp Strong attention to detail is necessarynbspIf these requirements sound like a good fit for you please email me your qualified resume to  nickitraylorajiloncom  
"
8,Customer Service R_125525,"    Job Classification   Contract  n nLooking for an excellent customer service representative who is willing to assist out clients in an operations centernnMUST HAVEn n   someone who is able to go the extra mile n   retailcustomer service experience n   must have at least High School Diploma ntttttt   nttttttJoin Aerotek Professional Services 174  Our customized employment solutions and personalized approach give job seekers access to great opportunities with competitive salaries Aerotek offers comprehensive benefits that can include medical dental optical and optional 401k Dont put your career in the hands of just anyone put it in the hands of a specialist Launch or rejuvenate your career today with Aerotek Professional Services Allegis Group and its subsidiaries are equal opportunity employers and will consider all applications without regard to race marital status sex age color religion national origin veteran status disability or any other characteristic protected by law  
"
9,Biomedical Enginee_17883,"   Minimum Required SkillsBiomaterials Regulatory Compliance Analytics BLA regulatory knowledge INDs regulatory knowledge Data Analysis PreClinical andor Clinical Projects experience Product DevelopmentIf you are a Biomedical Engineer with experience please read onWere a growing biotechnology company located in Hopkinton MA our company is the leader in several cell based technologies We have strong history of success now were going through a tremendous growth now and we need your help Were looking for an experienced biomedical engineer to join our fast growing teamOur ideal candidate would not just call themselves just a biomedical engineer We are looking for a diverse background someone who has experience with regulations strategies and product submissions scientific research product development You will have an opportunity to work in a challenging environment which allows you to have an impact on your career and the projects you work on That said we are looking for someone with personality that can be part of a collaborative teamWhat You Need for this PositionMore Than 5 Years of experience and knowledge of Biomaterials Regulatory Compliance Analytics BLA regulatory knowledge INDs regulatory knowledge Data Analysis PreClinical andor Clinical Projects experience Product DevelopmentWhats In It for You VacationPTO Medical Dental Vision Relocation AssistanceWe are looking for a candidate that must be hungry and excited at the opportunity great communicator able to build long lasting relationships We want someone thats excited to be with us looking to grow their career and focused on the opportunity to do something great every daySo if you are a Biomedical Engineer with experience please apply todayApplicants must be authorized to work in the USPlease apply directly to by clicking Click Here to Apply with your Word resumeLooking forward to receiving your resume and going over the position in more detail with you Not a fit for this position Click the link at the bottom of this email to search all of our open positionsLooking forward to receiving your resumeCyberCodersCyberCoders Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race color religion sex national origin disability protected veteran status or any other characteristic protected by lawYour Right to Work  In compliance with federal law all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hireCopyright    1999  2017  CyberCoders Inc All rights reserved
"
10,Receptionist_139998,"      Receptionist         Experienced Receptionist with Excellent Customer Service needed for 2 NW Valley Offices      Title Company now hiring 2 Receptionists for their Northwest Valley Locations 83rd Ave amp Bell Rd  142nd Ave amp Bell Rdnbsp      Must have at least 2 years Reception experience with excellent customer service skillsnbsp Must be dependable have an up beat personality and have basicintermediate computer skillsnbsp Will train industry specific job requirementsnbsp      MF full time opportunitynbsp Qualified applicants only please   Email  phoenixstiverscom  Refer to job  900606         Stivers Staffing Services has been placing office professionals since 1945  We have a variety of jobs available to match your skills  Contact us today to speak with a staffing professional to see where we can find a fit for you      You may view all our current openings at  wwwstiverscom    NEVER A FEE TO YOU   Excellence in staffing for 66 years  EOE MFDV      wwwfacebookcomStiversStaffing     Stivers Staffing Services Participates in EVerify  
"
11,Senior Java Develo_14958,"   IUNetworks LLC is looking for a motivated Senior Java  Developer for the development of webbased enterprise level  applications
"
12,Business Analyst_143269,"    Responsibilities  Kforce is seeking a Business Analyst for a Chicago Illinois client to be a liaison between the Lines of Business LOB and the Development Team Analyze Business Requirements to understand the business needs and determine how their applications can best functionally fulfill those needs n nCreate documentation for new lockbox program to include as is and to be models Combine knowledge of what the business wants with knowledge of how the systems are built and used to create functional designs across applications This high level functional design is used by BAs of all levels within the group as a basis for their lowlevel functional design The Analyst will be responsible for coaching and mentoring less experienced team members n nKforce NasdaqKFRC is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology finance  accounting clinical research and healthcare Backed by approximately our associates and consultants on assignment Kforce is committed to Great People  Great Results for our valued clients and candidates Kforce operates with 65 offices located throughout the United States and two offices in the Philippines n nJob Ref 2312EQG1161271T199
"
13,Sales Manager Spai_95959,"    Apply now Sales Manager SpainPortugal  Solar PV Tier 1  competitive salary in the range    60000     78000 plus quarterly bonus One of the worlds leading solar PV panel manufacturers tier 1 supplier is ramping up its European sales capacity with a strategic new hire to be based in Spain OR PortugalAbout the roleWe are looking for an experienced sales professional to build up and maintain key accounts with largescale systems integrators and wholesalers in Spain and PortugalThis is a great opportunity to join a topperforming company in an exciting period of growth and developmentThe company has a rich history a comprehensive product line and an outstanding reputation for quality and performanceThe role will be home based and is likely to be based in one of the following countriesSpain  Portugal were also looking in Eastern Europe  Poland  Hungary  Czech RepublicAbout youYou are a self starter  a highly motivated sales professional with extensive knowledge of the European solar market and a warm black book of contacts in large scale solar developers EPCs  system integrators or wholesalersYou will live in one of the target countries and speak the local language to native standard along with fluent EnglishYou will be capable of working independently but also able to synergize well with management and international or local members of the teamOf course youre very comfortable with delivering against a sales quotaRequirements Degree qualifiedPrevious solar PV sales experience and good industry  product knowledgeWarm contacts with significant solar buyers in the target marketsExcellent negotiation skillsPrior experience of working remotely andor independentlyGood numeric skillsIT literacy  MS Office suiteOwn vehicle and valid driving license and happy to travelFluent English is a must and any Mandarin is an advantageBased in PortugalSpain Poland  Hungary or Czech Republic RemunerationA competitive salary package is on offer for the right candidate involving a base salary in the range    60000     78000 and a quarterly bonus This is for a tier 1 solar manufacturer so is a great opportunity for the right candidate 
"
14,Administrative Ass_127888,"    Classification     SecretaryAdmin Asst n  n Compensation     1600 to 1800 per hour n  nSuccessful Westchester company is looking for an Administrative Assistant They must perform various administrative and office support functions and have great communication skills Other duties include but are not limited to fielding telephone calls receiving and directing visitorsordering office supplies performing mail merges faxing and filing The ideal candidate should have 36 years of Administrative Assistant experience and also be proficient in Microsoft Excel and Microsoft Word Apply to OfficeTeam today
"
15,Customer Service R_133440,"    Job Classification   Contract  n nMinimum QualificationsnHigh school diploma or equivalentnnTaking in bound callsnCustomer Service RepresentativenProficient typing and computer skillsnGreat communication skillsnAbility to multitask and work efficientlynMust be willing to work nights 630 pm to 500 am on Saturday and SundaynnThe Facility is located on the West Side of El Paso and is open 247 nQualified candidates need to be open to working 40hrs a week and must be willing to work graveyard shift 630 pm to 500 am on Saturdays and Sundays and two weeknightsnntttttt   nttttttJoin Aerotek Professional Services 174  Our customized employment solutions and personalized approach give job seekers access to great opportunities with competitive salaries Aerotek offers comprehensive benefits that can include medical dental optical and optional 401k Dont put your career in the hands of just anyone put it in the hands of a specialist Launch or rejuvenate your career today with Aerotek Professional Services Allegis Group and its subsidiaries are equal opportunity employers and will consider all applications without regard to race marital status sex age color religion national origin veteran status disability or any other characteristic protected by law
"
16,Advisor Reporting_26690,"   Job ID 516376BR Business Area CVS Health Primary Location AZ     Scottsdale Job Type Full Time Job Category Information Systems Billing  Collections Clinical Licensure Required NA Location Code OF155 Position Summary The Advisor Reporting Analyst position will require the candidate to coordinate efforts across multiple functional teams including internal and external clients The candidate must be able and willing to quickly adapt to changes in the environment which include file and code changes as well as regulatory changes Candidate will be responsible for creating new modifying existing and analyzing the data within specified regulatory reports Successful candidate must be able to write clear concise documentation We   re looking for someone with more than three years of experience in health data analysis with proficiency using Microsoft products Preferable experience includes financial reporting SAS and SQL The successful candidate will possess the following Customer service skills that allow the candidate to work well with varying levels in the organization excellent organization skills proficient in Microsoft products access excel word powerpoint etc excellent written and verbal communication skills ability to manage multiple priorities must meet all commitments on given time schedule capture and document requirements able to analyze the needs of the clients assist with validations on client reports and develop any documentation as needed Required Qualifications Minimum of three years of experience in health data analysis andor accounts payable experience Minimum of three years of report creation experience Preferred Qualifications It is preferred that the candidate have experience with the following 1 F inancial operations 2 SQL experience 3 P rogramming experience in SAS EG and SAS base 4 Business Analyst experience 5 D ata mining 6 Masters degree is preferred Education Bachelors degree is required Business Overview CVS Health through our unmatched breadth of service offerings is transforming the delivery of health care services in the US We are an innovative fastgrowing company guided by values that focus on teamwork integrity and respect for our colleagues and customers What are we looking for in our colleagues We seek fresh ideas new perspectives a diversity of experiences and a dedication to service that will help us better meet the needs of the many people and businesses that rely on us each day As the nation   s largest pharmacy health care provider we offer a wide range of exciting and fulfilling career opportunities across our three business units     MinuteClinic pharmacy benefit management PBM and retail pharmacy Our energetic and serviceoriented colleagues work hard every day to make a positive difference in the lives of our customers CVS Health is an equal opportunity employer We do not discriminate in hiring or employment against any individual on the basis of race ethnicity ancestry color religion sexgender including pregnancy national origin sexual orientation gender identity or expression physical or mental disability medical condition age veteran status military status marital status genetic information citizenship status unemployment status political affiliation or on any other basis or characteristic prohibited by applicable federal state or local law CVS Health will not discharge or in any other manner discriminate against any Colleague or applicant for employment because such Colleague or applicant has inquired about discussed or disclosed the compensation of the Colleague or applicant or another Colleague or applicant Furthermore we comply with the laws and regulations set forth in the following EEO is the Law Poster EEO IS THE LAW Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities If you require assistance to apply for this job please contact us by clicking AA EEO CVS Health For inquiries related to the application process or technical issues please contact the Kenexa Helpdesk at 18553385609 For technical issues with the Virtual Job Tryout assessment contact the Shaker Help Desk at 18779875352 Please note that we only accept resumes via our corporate website httpsjobscvshealthcom
"
17,Physical Therapist_122750,"    Home Health PTs needed in multiple valley locations  Flexible scheduling supportive team  n The Physical Therapist is responsible for the clinical care of adultgeriatric home care patients which may include but not be limited to case management specific therapy interventions patient assessment patientfamily education clinical and progress note preparation inservice participation and coordination with the multidisciplinary team  n  Knowledgeably and competently delivers Physical Therapy to patients  n Evaluates patient needs through ongoing assessment and develops treatment plans based on  patient condition  n Coordinates the development of plans of care with attending homecare physician  n Documents and charts appropriately and within specific time frames  n Participates as part of an interdisciplinary team to assure that patient services are delivered in a timely and effective manner  n Supports companys mission and values  n  n nbsp 
"
18,Office Coordiantor_13697,"   The Office Coordinator will be responsible on a daily  basis for ensuring the smooth operation of the office and administrative  functions as well as providing administrative support to the staff
"
