Type,filename,details
Resume,DanahNielsen_26409,danah nielsen hostess  albuquerque  nm    seeking a position that will challenge and provide ongoing experiences within an organization  utilizing my skills while assisting in the development of additional skills to further my professional  advancement    work experience   hostess i hop   may      to august      greeted customers  monitored the open dining sections for empty and cleaned tables  managed the guest waiting list  answering the telephone  and booking reservations    call center representative   september      to march      received inbound calls to assist customers with problems and found resolutions to ensure customer satisfaction  made outbound calls to provide customer satisfaction with our service and their purchases  provided prompt customer service for follow up appointments as necessary    server kelly s brew pub   august      to september      took orders and efficiently served food and drinks and removed dinnerware from the table  responsibly served alcohol within state and local requirements  managed money transactions appropriately   completed opening and closing procedures dictated by the establishment    time sheet auditor consumer direct personal care   october      to july      audited timesheets submitted by caregivers to ensure the completeness and accuracy of hours documented  daily submission of forms to payroll  via computer  so that the on time paycheck distribution deadline was met  maintained caregiver files  updated company database with any and all changes  i e   caregiver demographics  worked as back up receptionist as needed      education    central new mexico community college         high school diploma  sandia high school           additional information skills   proven customer service skills   works well with others as a team player   proficient with all aspects of operating a cash register as well as money managing   experienced with microsoft excel  outlook  and word
Resume,ChristopherBrown_30650,christopher brown  west memphis  ar    to obtain a position where my organizational and interpersonal skills are valued and utilized with my knowledge  i am self motivated  have the ability to lead teams and collaborate as a team member as well as follow instructions when needed  authorized to work in the us for any employer   work experience   malace hr  production operator hino motors   august      to present work as a team member to distribute different car parts and make production quotas on a daily basis    shift leader kentucky fried chicken   august      to present prepare food according to orders in a timely manner  maintain a clean work environment according to fda standards  work as a shift leader and team member to provide quality customer service    team member valley  manufacturing   logistics   may      to july      to meet daily production quotas and provide quality service for consumers      education  high school diploma  west memphis senior high school  may
Resume,MinnesotaStateParksWorkerSecurityRangerSeasonalParttime_32908,minnesota state parks worker   security ranger seasonal   part time  registered nurse  albert lea  mn    an accomplished  goal oriented and versatile registered nurse with a proven track record of leadership and performance in rapidly changing  diverse environments   hands on team leader with thirty years of progressive success in the health care industry   innovative problem solving ability and excellent communication skills at all levels  internally and externally   an efficient  organized and customer centered employee with extensive knowledge and experience in health and wellness  long term care  case management  patient assessment and staff management  recognized as a knowledgeable  compassionate  organized  dedicated and conscientious team member  skilled in developing successful relationships with patients members while promoting the company s core mission  vision and values  authorized to work in the us for any employer   work experience   minnesota state parks worker   security ranger seasonal   part time   myre big island state park   albert lea  mn         to present   assist in operations of park headquarters    provide information and excellent customer service    conduct annual review of material safety data sheets in accordance with osha    conduct annual review of first aid supplies to ensure adequate supplies are available as needed    complete required daily reports  including revenue income  inventory recording and daily deposits    complete park security patrols    health and wellness case manager   health coach  blue cross blue shield of minnesota   albert lea  mn         to        implemented a new health   wellness program at cargill in albert lea  minnesota    served as chair and facilitator of worksite health and wellness committee per the collective bargaining agreement    facilitated health and wellness activities and initiatives in the workplace    conducted in person and telephonic health coaching for chronic conditions  diabetes  heart disease  copd and asthma for workplace employees and family members participating in bcbs health plan    assisted members in developing a customized plan of care and goals that produced positive clinical results and promoted high quality cost effective outcomes    conducted member education and or comprehensive medical health history    received referrals as identified through blue cross identification systems and reached out to members utilizing clinical knowledge  motivational interviewing and behavioral modification techniques    documented health data according to blue cross application protocol and regulatory standards    collaborated with community resources and initiatives    prepared documentation and co facilitated monthly collaborative corporate meetings    developed documents related to preventative care services  health care and health club options in the community    encouraged and coordinated additional support to multidisciplinary existing plan of care leading to optimal results    registered nurse case manager  long term care consultation  freeborn county public health   albert lea  mn         to        conducted assessments with clients to assist and provide services with a goal to remain in their homes or the community    determined eligibility for state funded programs    prepared an individual plan of care for services    coordinated services and collaborated with multidisciplinary health care professionals    compiled and recorded client information into the state of minnesota information system    authorized service agreements with the state of minnesota for payment of services with providers    collaborated with managed care organizations for delivery of services and payment    complied with all state and federal regulations    registered nurse supervisor  helping hands homecare of minnesota   northwood  ia         to        supervised staff of        conducted health assessments and documentation    completed orientation of new employees and annual training    enforced and demonstrated compliance with all federal  state and local regulations    set up and organized schedules with clients    organized and filed all paperwork    developed  implemented and evaluated individualized plan of care per protocol during supervisory visits    registered nurse   staff supervisory nurse  thornecrest retirement community   albert lea  mn         to        on call registered nurse long term care   assessed patient status  data collection and documentation of all information    prepared and administered all required medications    supervised certified nursing assistants    administered all required medical treatments    registered nurse  semcil home care   rochester  mn         to        provided direct care to a variety of clients with chronic and post surgical conditions    proficient in venipuncture    completed all medicare and oasis forms      education  associate degree in registered nurse  riverland college   austin  mn     skills  case management    years   leadership      years   patient education      years   patient assessment      years   customer service      years   supervisory experience      years   long term care      years   home health care      years     certifications   bls march      to march       motivational interviewing navigating change mnchoices certified assessor strengths finder    additional information other professional experience   district one hospital  faribault  mn  allina hospital  owatonna mn  mayo clinic health system  naeve hospital  albert lea  mn   community involvement and leadership   freeborn county community worksite wellness committee  member
Resume,NaveenNetDeveloper_46188,naveen  net developer java developer   bcbsm  mi  detroit  mi        years of experience in developing web based  internet intranet  client server  distributed architecture and component oriented architecture applications using java j ee technologies    proficient with different software development methodologies including waterfall  agile  scrum  and rational unified process  rup    extensive experience in j ee platform including  developing both front end   back end applications using java  servlets  jsp  ejb  ajax  spring  struts  hibernate  jaxb  jms  jdbc  web services    worked extensively on various flavors of unix operating system like linux    application development experience using multithreading  serialization  externalization  collection  generics    proficiency in developing mvc patterns based web applications using struts by creating forms using struts tiles and validates using struts validation framework    proficiency in using hibernates features such as hql  hibernate query language  and criteria queries for effectively use of the relational databases and also prefer second level cache  eh cache  to optimize performance    proficiency in developing mvc  based applications by using various integration of open source frameworks like struts  spring and object relational mapping technologies like hibernate    designed and developed jsps as a presentation layer with using html  javascript  and css    used javascript to implement client side validations    hands on experience in design  implementation and maintenance of system architectures using application servers like weblogic  websphere  tomcat and jboss    experienced with xml related technologies such as xsl  xslt  dom  and sax    experience in soap and rest for developing web services  really strong working knowledge of front end technologies including java script framework  and angular js   experience in deploying applications in various application servers like apache tomcat  and web sphere    experience with oracle  microsoft sql  mysql  microsoft access in writing pl sql  stored procedures  functions and triggers    experience in developing uml by using rational rose to design the object model  use cases  activity diagrams  sequence diagrams  class diagrams and component diagrams    extensively used ant tool in building common components  automation scripts  and code instrumentation scripts    involved in projects involving c  c   willing to relocate  anywhere   work experience   java developer bcbsm  mi   april      to present description  benefit shift process is the shifting process of one plan to another plan for bcbsm insurance members based on activities to encourage healthier behavior  manage conditions  improve outcomes  increase efficiency  improve productivity and reduce absenteeism  an underlying premise of benefit shift is that incentives and rewards provide more effective motivation to members subscribers  if members subscribers complete activity within time  they will be moved to enhanced plan else they will be moved to standard plan  responsibilities     developed and designed the applications using mvc framework using struts framework for     easy maintainability    involved in the analysis  design  development  testing and maintenance phases of software development life cycle  sdlc  of benefit shift project    developed the action classes  action form classes  created jsps using struts tag libraries and configured in struts config xml  web xml files    design ui screens using jsp  css  struts framework  ajax  java script and html    developed and implemented pojos using hibernate  db  and rad        used soap ui       to test the request and response of the application    worked on developing the web services classes  wsdl using apache axis    developed web services to retrieve data from legacy systems    developed web services components using xml  soap and axis    involved in writing dao s  services and also involved in integrating the applications    used multi threading concepts in various applications    used dao  dto  singleton  composite view design patterns in the app development     involved in deploying and configuring applications in web sphere    to deploy the applications in various regions    used maven scripts to bundle and deploy  and log j components for logging applications    used scm as a version control system to check in   check out the code    developed various test cases and performed unit testing using junit    creation of database objects like tables  views  stored procedures  materialized views and packages using oracle tools like pl sql developer    used putty for logging into unix to perform bootstrap and checking server logs   environment  java  jee  spring     hibernate  struts     jsp     servlets      jdbc      sql  pl sql  db   html  xml  css  rtc  ajax  javascript  web sphere     log j  soap ui        restful web services  maven  rad      unix and windows   java developer  wal mart   bentonville  ar    september      to march        java j ee developer  aetna health inc   kansas city  mo    november      to september      description  the largest health insurance company in state of missouri  new member web portal was developed in response to increased member number  increased services  to make it more efficient  adding new services  enabling sso  making the portal more informative  interactive  user friendly  this team was involved in working in various in flight projects  supporting fixing bugs   responsibilities    struts framework for mvc design pattern  action class  action servlets  form bean    created jsp screen by assembling struts tiles and taglibs and used html for static webpage and javascript for view part of the project    used eclipse ide for writing code and beaweblogic as application server    implemented simulated top down soap based web service to test the business logic for the rating calculation    used jdbc  mq series and web services  and hibernate framework to access the data from back end ms sql database server    worked on struts  tiles  ajax  for developing the application    implemented persistence layer using hibernate  hibernate transaction manager is used to maintain the transaction persistence    used stored procedures to crunch data and creating view for fetching data from multiple tables on ms sql server    used java persistence api  jpa  for managing relational data mapping    spring framework to implement bean to declare a service and accessed those using application context    jms for sending and receiving message through application server    involved in developing the applications using spring framework for dependency injection  inversion of control   implemented the business logic using ejb  session and entity beans    used xml sax to parse the simulated xml file which has simulated test data    used svn for version control    used log j logging framework to write log messages with various levels    developed automated test application which validates various xml document using junit and xslt    used jrockit jdk to develop and run the underwriting workbench application    used gwtand was migration    followed agile methodology during the development process    work with dns to map the website to its ip address    extensively used gwt for developing ajax applications    used maven to validate  compile and deploy the files   environment  jdk      java j ee  ejb  jsf      hibernate      jakarta struts      spring      jsp  css  jstl  jdbc  servlets  xml  jrockit  junit  javascript  vss  jms  agile programming  eclipse      gwt  mssql server       ajax  axis  web services jax ws  bea weblogic server      uml  maven  unix  svn    java developer  coyote logistics   chicago  il    april      to october      description  coyote offers an incomparable supply chain service to shippers throughout north america  coyote believes in doing the right thing  every time  coyote exists to bring a better experience to the logistics industry and is one of the fastest growing transportation and logistics service providers in north america   responsibilities    actively participated in requirements gathering  analysis  design  and testing phases    designed use case diagrams  class diagrams  and sequence diagrams as a part of design phase using rational rose    developed the application based on mvc architecture  integrating jsp with hibernate and struts frameworks    designed user interface using java server pages  jsp   cascading style sheets  css   and xml    developed the enterprise java beans  stateless session beans  to handle different transactions such as bill payments to the service providers    worked on struts  tiles  ajax  for developing the application   developed deployment descriptors for the ejb to deploy on web sphere application server    implemented service oriented architecture  soa  using jms for sending and receiving messages while creating web services    developed web services for data transfer from client to server and vice versa using apache axis  soap  wsdl  and uddi    extensively worked on mq series using point point  publisher subscriber messaging domains for implementing exchange of information through messages    developed xml documents and generated xsl files for payment transaction and reserve transaction systems    implemented various j ee design patterns like singleton  service locator  business delegate  dao  transfer object  and soa    worked on ajax to develop an interactive web application and javascript for data validations    used subversion to implement version control system    build ant script for the application and used log j for debugging    used junit framework for the unit testing of all the java classes   environment  java ee    ejb      jndi      hibernate      struts      html  javascript  xml  css  junit  uml  ireport     and      web services  soap  wsdl  uddi  axis    ajax  ant  eclipse      ibm web sphere      db   subversion  linux    java developer  state farm insurance   chicago  il    november      to march      description  state farm insurance is provider of auto  health  home and life insurance  health insurance management system  hims  is fully automated and integrated application for managing the policy plans  agent commission  incurred but not paid and settlements  this insurance management system gives information of the client  policy details and premium rates and monitors the policies for delayed payments  it manages different claims per policies  claim settlements and allows coverage verifications   responsibilities    critical role in the production support and customization of application with requirement gathering  analysis  troubleshooting  administrating  production deployment and development through agile principles    developed the user interfaces using web      ajax  jsp  struts  html  css  java script  and dhtml    generalized toplink mapping template for the application so that top link related code could be separated from the actual dao implementation    worked on mvc framework preferably web work and struts     with spring dependency injection for application customization and upgrade    used multiple action controllers to control the page flow  interceptors for client validations   used spring orm package as an integration layer for orm mapping api s  including hibernate    design application using new themes and custom templates and user interface by using jsp  html  xml  xslt  css and java script  as per verizon business new theme requirement    used ajax to get faster response to the user without refreshing the whole page  to develop and customize the dynamic web pages    developed apis using pl sql to interact with the oracle database    a generalized component according spring framework to retrieve appropriate service for the required functionality    developed xml schema  dom  xslt code for xml documents  used for data transfer between front end and middleware layers    used xml processing  jaxp  enables applications to parse  transform  validate and query xml documents    generated web services implementation classes using weblogicclientgen to connect to vzwireless and cmc to utilize their services and used soap ui tool to monitor the same    used ws security concepts for implementing secured web services to restrict only for prescribed users to secure customer information    implemented the integration of struts and spring ioc and injected spring beans to struts action classes    developed email templates and email notification functionality using html  dhtml and xhtml as per business requirement   environment  j ee  mvc  struts      java  jsp  servlets  hibernate  jstl  junit  xml  html javascript  db   informix  cvs  unix  windows xp  uml  eclipse      web logic     application server    java j ee developer idea cellular  ap   may      to october      responsibilities    used servlets  struts  jsp and java beans for developing the performance module using legacy code    involved in emi  repayments   chequebounce  deposits module in all activities    involved in coding for jsp pages  form beans and action classes in struts    created custom tag libraries to support the struts framework    involved in writing validations    involved in database connectivity through jdbc    involved in writing dao s    developed junittest cases and performed application testing for qc team    used javascript for client side validations    participated in weekly project meetings  updates and provided estimates for the assigned task  environment  java  j ee  struts  jsp  jdbc  ant  xml  ibm web sphere  wsad  junit  db   rational rose  cvs  soap and rup      skills java  jsp j ee  rmi  java beans  jdbc  spring  java jca  servlets  jms  jndi  ssl jakarta struts        struts    hibernate      spring   x  ejb  jsf angular js camel web sphere          jboss   x   x  tomcat        c  c    sql  and pl sql  uml sun solaris  red hat linux  ax  hp unix   x  windows xp vista    mac os ms office  ms project  ms visio   rational suite db   oracle  i  i   g  pl sql        sql server     mysql  postgresql  ms access eclipse   x   x  maven  ant  svn version control  cvs version  hp quality center  bm rad   soap ui   wsdl   restful xml  html  dhtml  xml schema  dtd  css  dhtml  javascript  ext js  dojo jquery ajax  soap      sax and dom  xslt  xpath   additional information technical skills   java j ee            java  jsp j ee  rmi  java beans  jdbc  spring  java jca  servlets  jms  jndi  ssl frameworks           jakarta struts        struts    hibernate      spring   x  ejb  jsf  angular js  camel application server   web sphere     weblogic      jboss   x   x  tomcat        languages            c  c    sql  and pl sql  uml operating systems    sun solaris  red hat linux  ax  hp unix   x  windows xp vista    mac os software package     ms office  ms project  ms visio  rational suite database             db   oracle  i  i   g  pl sql        sql server     mysql  postgresql  ms access development tools    eclipse   x   x  maven  ant  svn version control  cvs version  hp quality center  bm rad   web services         soap ui  wsdl  restful web technologies     xml  html  dhtml  xml schema  dtd  css  dhtml  javascript  ext js  dojo  jquery  ajax  soap      sax and dom  xslt  xpath
Resume,TimSchannauer_22646,tim schannauer electrician helper lane valente industries  turnersville  nj    trained technician with strong communication skills seeking a position in the electrical field where i can utilize my abilities to contribute to company success    install  repair and replace residential wiring devices   construction site preparation   read and interpret blueprints  specifications  schematics and wiring diagrams   troubleshooting electrical circuits   conduit  bending and installation   install residential commercial services up to         amps   low voltage and telecommunications wiring and terminations   diagnostic and troubleshooting skills   single and polyphase power distribution and equipment   motor branch and control circuits   ambitious   hardworking   excellent multi tasking abilities   customer service professional   software  microsoft office suite  word  excel  power point  authorized to work in the us for any employer   work experience   electrician helper  lane valente industries   bohemia  ny    january      to present    months  responsible for assisting electricians with installing and maintaining electrical and power systems  works at construction sites  factories  businesses  and residences    customer service associate  township liquors   turnersville  nj    january      to present    year    months    provide superior customer service   assistance in locating items   verify identification to prevent the sale of alcohol to minors   ensure all shelves   aisles are fully stocked at all times   snow removal  crown commercial   turnersville  nj    january      to present    year    months    removed snow and ice from streets   vehicle parking areas   operated  controlled    performed preventive maintenance of snow plow         equipment   maintained adherence to all applicable safety standards   theatre assistant  united artist movie theatre   turnersville  nj    september      to february         months    provide assistance to the theater manager in maintaining smooth operations of the facility   escorted  directed customers to their seats   answered customers  questions regarding theater policies and protocols     education   certificate in electrical theory and safety  pennco tech   blackwood  nj  january        high school diploma  washington township high school   sewell  nj  june
Resume,ElectronicTechnician_32259,electronic technician  crestwood  ky    authorized to work in the us for any employer   work experience   electronic technician kentuckiana comfort center   may      to august         months  job duties included building and wiring commercial hvac units for trane   substation technician davis h elliot company   october      to october         year  job duties include building substations  and maintaining substations   evac technician ci agent solutions inc   february       assist in research and development of products of the future  field installation of secondary containment systems at various electrical sub stations  and maintenance duties as required by employer      education    somerset lineman tech center graduate  march        auto technology  south oldham county high school           additional information skills       hour osha training   first aid cpr certification   basic flagging   smart grid training
Resume,BreyonnaAllen_22582,breyonna allen  st  louis  mo      work experience   health program representative  anthem   january      to present    months    cashier barista  slu hospital   june      to august         months    cashier target   may      to january         months    sales associate  saint louis bread co   may      to february         year    months    office clerk king lewis square leasing office   may      to august         months      education  highschool diploma  roosevelt highschool     skills microsoft word  microsoft office  powerpoint    years
Resume,OccHealthLeadLPN_44700,occ health lead lpn  sheridan  wy    willing to relocate  anywhere authorized to work in the us for any employer   work experience  occ health lead lpn  sheridan memorial hospital   sheridan  wy     education  diploma lpn in lpn  high plains area votch   woodward  ok  july      to july         skills  dot certified uds collector and bat certified    years   niosh certified pft    year   cpr      years   cohac certified audiogram  technician    years   lpn license      years   dot uds bat instructor    years     additional information i have been an lpn for    years and have worked many areas of nursing  my focus at the present time is occ med  resume upon request with references
Resume,PatriciaPatrick_19018,patricia patrick  lake charles  la    authorized to work in the us for any employer   work experience   assistant store manager party city        to present   server que pasa        to          education  high school or equivalent  sam houston high school     skills  computer skills  customer service  public relations
Resume,TechnicalWriterLabeling_10525,technical writer   labeling technical writer   labeling  cohoes  ny    willing to relocate to  new york state authorized to work in the us for any employer   work experience   technical writer   labeling roche diagnostics  diabetes care   global product life cycle services   february      to december      feb       to dec           revised medical device labeling  per specifications    proofread labeling  inserts  manuals  quick start guides  for u s  and international markets    reviewed labeling for correctness  spelling  formatting  punctuation  and grammar    collaborated with international product manager  project manager  language services  and graphic designers regarding revisions to labeling    coordinated the approval process and final delivery of labeling to project manager    editorial assistant legislative services agency   december      to march      jun       to jul           amended legislative bills in the in house printing department       legislative session     used wordperfect to insert corrections and run macros    used excel to note discrepancies discovered during website migration project    copy editor oregon legislative assembly office   december      to november      copy editor in the law office of the oregon legislature       legislative session       copyedited bills and attorney opinion letters  used lexis to verify citations      used stairs database program to perform bill research      team proofread proofs and assisted in compiling the oregon revised statutes    copy editor proofreader   march      to november      jan       to jun          associate copy editor penton technology media   may      to march      copy editor for the following monthly magazines  windows nt magazine  windows      magazine  and windows and  net magazine    worked with editors to improve readability of magazine articles  and corrected for grammar  style  and accuracy of facts    corrected magazine proofs  including sql server magazine     helped maintain style guide    proofreader  deloitte   touche creative services department   dallas      september      to may      proofread proposals  advertisements  powerpoint slides  financial statements  and brochures for a big four professional services firm    checked bluelines from printer and answered style and grammar questions from company employees    freelance proofreader  american heart association   dallas      august      to april      proofread galleys of journal articles for a scientific medical journal publisher  journals included  arteriosclerosis  thrombosis  and vascular biology  circulation  circulation research  hypertension  and stroke    used quarkxpress table extension to create tables for journal articles   software typing speed   windows  ms office  word  excel  outlook   adobe acrobat  quarkxpress  sharepoint   typing     w p m      education   design  and printing  bill priest institute   dallas    august      to november        bachelor of arts in behavioral science  national university   sacramento  ca  october      to april        certificate in psychology and social psychology  university of california   davis  ca      links http   www linkedin com in danielbirks
